title,release_date,tagline
The Hunger Games: Catching Fire,11/15/13,Every revolution begins with a spark.
Home,3/18/15,Worlds Collide
War of the Worlds,6/28/05,They're already here.
Bad Boys II,7/18/03,"If you can't stand the heat, get out of Miami."
Puss in Boots,10/28/11,Live for danger. Fight for justice. Pray for mercy.
Salt,7/21/10,Who is Salt?
Noah,3/20/14,The end of the world is just the beginning.
The Adventures of Tintin,10/25/11,"This year, discover how far adventure will take you."
Harry Potter and the Prisoner of Azkaban,5/31/04,Something wicked this way comes.
Australia,11/18/08,Welcome to Australia!
After Earth,5/30/13,"Danger is real, fear is a choice"
Dinosaur,5/19/00,You have never seen anything like this.
Night at the Museum: Secret of the Tomb,12/17/14,One Final Night to Save the Day.
Megamind,10/28/10,His brain is off the chain.
Harry Potter and the Philosopher's Stone,11/16/01,Let the Magic Begin.
R.I.P.D.,7/18/13,To protect and serve the living
Pirates of the Caribbean: The Curse of the Black Pearl,7/9/03,Prepare to be blown out of the water.
The Hunger Games: Mockingjay - Part 1,11/18/14,Fire burns brighter in the darkness
The Da Vinci Code,5/17/06,Seek the truth.
Rio 2,3/19/14,"He's villainous, she's venomous."
X2,4/24/03,The time has come for those who are different to stand united.
Fast Five,4/20/11,Get the Fifth Gear.
Sherlock Holmes: A Game of Shadows,11/22/11,The game is afoot.
Clash of the Titans,4/1/10,Titans will clash.
Total Recall,6/1/90,"They stole his mind, now he wants it back."
The 13th Warrior,8/27/99,Prey for the living.
The Bourne Legacy,8/8/12,There Was Never Just One
Batman & Robin,6/20/97,Strength. Courage. Honor. And loyalty.
How the Grinch Stole Christmas,11/17/00,He puts the mean in green.
The Day After Tomorrow,5/26/04,Where will you be?
Mission: Impossible II,5/24/00,Expect the impossible again.
The Perfect Storm,3/15/00,The storm is coming.
Fantastic 4: Rise of the Silver Surfer,6/13/07,Discover the secret of the Surfer.
Life of Pi,11/20/12,Believe The Unbelievable
Ghost Rider,2/16/07,Hell Is About To Be Unleashed
Jason Bourne,7/27/16,You know his name
Charlie's Angels: Full Throttle,6/27/03,This summer the Angels are back.
Prometheus,5/30/12,The Search for Our Beginning Could Lead to Our End.
Stuart Little 2,7/19/02,A Little Goes A Long Way
Elysium,8/7/13,He can save us all.
The Chronicles of Riddick,6/11/04,All the power in the universe can't change destiny
RoboCop,1/30/14,We've got the future under control.
Speed Racer,5/9/08,Go!
How Do You Know,12/17/10,How do you know it's love?
Knight and Day,6/15/10,Every Hit Man Deserves a Second Shot!
Oblivion,4/10/13,Earth is a memory worth fighting for
Star Wars: Episode III - Revenge of the Sith,5/17/05,The saga is complete.
Star Wars: Episode II - Attack of the Clones,5/15/02,A Jedi Shall Not Know Anger. Nor Hatred. Nor Love.
"Monsters, Inc.",11/1/01,We Scare Because We Care.
The Wolverine,7/23/13,"When he's most vulnerable, he's most dangerous."
Star Wars: Episode I - The Phantom Menace,5/19/99,Every generation has a legend. Every journey has a first step. Every saga has a beginning.
The Croods,3/20/13,Meet the first modern family.
Asterix at the Olympic Games,1/13/08,
Windtalkers,6/14/02,Honor Was Their Code.
The Huntsman: Winter's War,4/6/16,The story before Snow White
Teenage Mutant Ninja Turtles,8/7/14,Mysterious. Dangerous. Reptilious. You've never seen heroes like this.
Gravity,9/27/13,Don't Let Go
Dante's Peak,2/7/97,The pressure is building...
Teenage Mutant Ninja Turtles: Out of the Shadows,6/1/16,Raise some shell.
Fantastic Four,8/5/15,Change is coming.
Night at the Museum,10/20/06,Where History Comes To Life
San Andreas,5/27/15,"A rescue pilot survived an earthquake, this is what happens next"
Tomorrow Never Dies,12/11/97,Yesterday is a memory. Today is history. Tomorrow is in the hands of one man.
The Patriot,6/28/00,Some things are worth fighting for.
Ocean's Twelve,12/9/04,Twelve is the new eleven.
Mr. & Mrs. Smith,6/7/05,Smart and sexy.
Insurgent,3/18/15,One Choice Can Destroy You
The Aviator,12/17/04,"For some men, the sky was the limit. For him, it was just the beginning."
Gulliver's Travels,12/25/10,Something big is going down.
The Green Hornet,1/12/11,Breaking the Law to Protect It.
300: Rise of an Empire,3/5/14,Seize your glory!
The Smurfs,7/29/11,Smurf Happens.
Home on the Range,4/2/04,Bust a Moo
Allegiant,3/9/16,Break the boundaries of your world
Real Steel,9/28/11,"If you get one shot, make it real."
The Smurfs 2,7/30/13,Get ready to get naughty!
Speed 2: Cruise Control,6/13/97,"As the stakes get higher, the ride gets even faster."
Ender's Game,10/23/13,This is not a game.
Live Free or Die Hard,6/20/07,The old school cop is back!
The Lord of the Rings: The Fellowship of the Ring,12/18/01,One ring to rule them all
Around the World in 80 Days,6/16/04,Let your imagination soar.
Ali,12/11/01,Float like a butterfly and sting like a bee.
The Cat in the Hat,11/21/03,Don't mess with the hat.
"I, Robot",7/15/04,Laws are made to be broken.
Kingdom of Heaven,5/3/05,"Be without fear in the face of your enemies. Safeguard the helpless, and do no wrong"
Stuart Little,12/17/99,The Little Family Just Got Bigger
The Princess and the Frog,12/8/09,Every Love Story Begins With a Kiss...
The Martian,9/30/15,Bring Him Home
The Island,7/20/05,Your time will come...
Town & Country,4/27/01,There's no such thing as a small affair.
Gone in Sixty Seconds,6/9/00,"Ice Cold, Hot Wired."
Gladiator,5/1/00,A Hero Will Rise.
Minority Report,6/20/02,The system is perfect until it comes after you.
Harry Potter and the Chamber of Secrets,11/13/02,Hogwarts is back in session.
Casino Royale,11/14/06,Everyone has a past. Every legend has a beginning.
Planet of the Apes,7/25/01,You'll be sorry you were ever born human
Terminator 2: Judgment Day,7/1/91,It's nothing personal.
Public Enemies,7/1/09,America's Most Wanted.
American Gangster,11/2/07,There are two sides to the American dream
True Lies,7/14/94,"When he said I do, he never said what he did."
The Taking of Pelham 1 2 3,6/11/09,I can't get it out of my head. I'm gonna die today.
Little Fockers,12/21/10,"Kids bring everyone closer, right?"
The Other Guys,8/6/10,When the cops are busy... Our only hope is...
Eraser,6/21/96,He will erase your past to protect your future.
Django Unchained,12/25/12,"Life, liberty and the pursuit of vengeance."
The Hunchback of Notre Dame,6/21/96,
The Emperor's New Groove,12/9/00,It's All About.....ME!
The Expendables 2,8/8/12,Back for War.
National Treasure,11/19/04,The greatest adventure history has ever revealed.
Eragon,12/14/06,"As darkness falls, the last dragon will choose its rider."
Where the Wild Things Are,10/16/09,There's one in all of us.
Epic,5/15/13,Discover a world beyond your imagination
The Tourist,12/8/10,It all started when he met a woman
End of Days,11/24/99,Prepare for the end.
Blood Diamond,12/7/06,It will cost you everything.
The Wolf of Wall Street,12/25/13,EARN. SPEND. PARTY.
Batman Forever,5/31/95,"Courage now, truth always..."
Starship Troopers,11/6/97,The only good bug is a dead bug.
Cloud Atlas,10/26/12,Everything is Connected
Legend of the Guardians: The Owls of Ga'Hoole,7/10/10,On his way to finding a legend...he will become one.
Catwoman,7/22/04,CATch her in IMAX
Hercules,7/23/14,"Before he was a legend, he was a man."
Treasure Planet,11/26/02,Find your place in the universe.
Land of the Lost,6/5/09,Right place. Wrong time.
The Expendables 3,8/4/14,New team. New attitude. New mission.
Point Break,12/3/15,The only law that matters is gravity
Son of the Mask,2/18/05,Who's next?
In the Heart of the Sea,11/20/15,Based on the incredible true story that inspired Moby Dick
The Adventures of Pluto Nash,8/15/02,Action's future has arrived...
Green Zone,3/11/10,Chief Warrant Officer Roy Miller is done following orders
The Peanuts Movie,11/5/15,The story of an underdog. And his dog.
The Spanish Prisoner,9/8/97,It's the oldest con in the book.
The Mummy Returns,4/28/01,The most powerful force on earth is about to be unleashed by the two people who should know better.
Gangs of New York,12/14/02,America was born in the streets.
The Flowers of War,12/15/11,
Surf's Up,6/8/07,"In the coldest place on Earth, he's the hottest thing around."
The Stepford Wives,6/10/04,The wives of Stepford have a secret.
Black Hawk Down,12/28/01,Leave No Man Behind.
The Campaign,8/9/12,May The Best Loser Win.
The Fifth Element,5/7/97,There is no future without it.
Sex and the City 2,5/26/10,Carrie on.
The Road to El Dorado,3/31/00,They came for the gold... they stayed for the adventure.
Ice Age: Continental Drift,6/26/12,"Manny, Diego, and Sid embark upon another adventure after their continent is set adrift."
Cinderella,3/12/15,Midnight is just the beginning.
The Lovely Bones,12/26/09,The story of a life and everything that came after...
Finding Nemo,5/30/03,"There are 3.7 trillion fish in the ocean, they're looking for one."
The Lord of the Rings: The Return of the King,12/1/03,The eye of the enemy is moving.
The Lord of the Rings: The Two Towers,12/18/02,A New Power Is Rising.
Seventh Son,12/12/14,"When darkness falls, the son will rise. When the son falls, the dark knight will rise."
Lara Croft: Tomb Raider,6/11/01,Born into Wealth. Groomed by the Elite. Trained for Combat.
Transcendence,4/16/14,"Yesterday, Dr. Will Caster was only human..."
Jurassic Park III,7/18/01,"This time, it's not just a walk in the park!"
Rise of the Planet of the Apes,8/3/11,Evolution Becomes Revolution.
The Spiderwick Chronicles,2/14/08,Their World Is Closer Than You Think.
A Good Day to Die Hard,2/6/13,Yippee Ki-Yay Mother Russia
The Alamo,4/7/04,You will never forget
The Incredibles,11/5/04,"No gut, no glory"
Cutthroat Island,12/22/95,The Course Has Been Set. There Is No Turning Back. Prepare Your Weapons. Summon Your Courage. Discover the Adventure of a Lifetime!
Percy Jackson & the Olympians: The Lightning Thief,2/1/10,Worlds Collide
Men in Black,7/2/97,Protecting the Earth from the scum of the universe.
Toy Story 2,10/30/99,The toys are back!
Unstoppable,11/4/10,"1,000,000 Tons. 100,000 Lives. 100 Minutes."
Rush Hour 2,8/3/01,Get ready for a second Rush!
What Lies Beneath,7/21/00,He was the perfect husband until his one mistake followed them home.
Cloudy with a Chance of Meatballs,9/17/09,Prepare to get served.
Ice Age: Dawn of the Dinosaurs,6/29/09,You Won't Believe Your Ice!
The Secret Life of Walter Mitty,12/18/13,"Stop Dreaming, Start Living"
Charlie's Angels,11/2/00,Get Some Action
The Departed,10/5/06,Lies. Betrayal. Sacrifice. How far will you take it?
Mulan,6/18/98,"This time, the princess saves the prince."
Tropic Thunder,8/9/08,The movie they think they're making... isn't a movie anymore.
The Girl with the Dragon Tattoo,12/14/11,Evil shall with evil be expelled.
Die Hard: With a Vengeance,5/19/95,Think fast. Look alive. Die hard.
Sherlock Holmes,12/23/09,Nothing escapes him.
Ben-Hur,8/17/16,First to finish. Last to die.
Atlantis: The Lost Empire,6/2/01,Atlantis is waiting...
Alvin and the Chipmunks: The Road Chip,12/17/15,Fast & furry-ous
Valkyrie,12/25/08,Many saw evil. They dared to stop it.
You Don't Mess with the Zohan,6/5/08,Lather. Rinse. Save the world.
Pixels,7/16/15,Game On.
A.I. Artificial Intelligence,6/29/01,"David is 11 years old. He weighs 60 pounds. He is 4 feet, 6 inches tall. He has brown hair. His love is real. But he is not."
The Haunted Mansion,11/25/03,Check your pulse at the door... if you have one.
Contact,7/11/97,"If it's just us, it seems like an awful waste of space."
Hollow Man,8/4/00,What would you do if you knew you couldn't be seen?
The Interpreter,4/8/05,The truth needs no translation.
Percy Jackson: Sea of Monsters,8/7/13,"Where There Are Gods, There Are Monsters."
Lara Croft Tomb Raider: The Cradle of Life,7/21/03,Adventuress Lara Croft goes on a quest to save the mythical Pandora's Box
Now You See Me 2,6/2/16,You Haven't Seen Anything Yet
The Saint,4/3/97,Never reveal your name. Never turn your back. Never surrender your heart.
Spy Game,11/18/01,It's not how you play the game. It's how the game plays you.
Mission to Mars,3/10/00,Let There Be Life.
Rio,4/3/11,1 out of every 8 Americans is afraid of flying. Most of them don't have feathers.
Bicentennial Man,12/17/99,One robot's 200 year journey to become an ordinary man.
Volcano,4/25/97,The coast is toast
The Devil's Own,3/12/97,"They come from different worlds. They fight for different causes. Now, two men from opposite sides of the law are about to go to war."
K-19: The Widowmaker,7/19/02,Fate has found its hero.
Conan the Barbarian,4/2/82,Thief. Warrior. Gladiator. King.
Cinderella Man,6/2/05,One man's extraordinary fight to save the family he loved.
The Nutcracker: The Untold Story,11/24/10,
Seabiscuit,7/22/03,The hopes of a nation rode on a long shot.
Twister,5/10/96,The Dark Side of Nature.
Cast Away,12/22/00,"At the edge of the world, his journey begins."
Happy Feet,11/16/06,WARNING: May Cause Toe-Tapping.
The Bourne Supremacy,7/23/04,They should have left him alone.
Air Force One,7/25/97,The fate of a nation rests on the courage of one man.
Ocean's Eleven,12/7/01,Are you in or out?
The Three Musketeers,8/31/11,Every legend has a new beginning.
Hotel Transylvania,9/20/12,Where monsters go to get away from it all
Enchanted,11/20/07,This fairytale princess is about to meet a real Prince Charming
Safe House,2/9/12,No one is safe
102 Dalmatians,10/7/00,Meet Two Unlikely Heroes With A Bone To Pick.
Tower Heist,11/2/11,Ordinary guys. An extraordinary robbery.
The Holiday,12/8/06,It's Christmas Eve and we are going to go celebrate being young and being alive.
Enemy of the State,11/20/98,It's not paranoia if they're really after you.
It's Complicated,12/23/09,First comes marriage. Then comes divorce. And then...
Ocean's Thirteen,6/7/07,What are the odds of getting even? 13 to one.
Open Season,9/29/06,One Fur All & All Fur One
Divergent,3/14/14,What makes you different makes you dangerous.
Enemy at the Gates,3/13/01,Some Men Are Born To Be Heroes.
The Rundown,9/26/03,cut to the chase
Last Action Hero,6/18/93,This isn't the movies anymore.
Memoirs of a Geisha,12/6/05,"My world is as forbidden as it is fragile; without its mysteries, it cannot survive."
The Fast and the Furious: Tokyo Drift,6/3/06,"On the streets of Tokyo, speed needs no translation..."
Arthur Christmas,2/22/11,Ever wonder how 2 Billion presents get delivered all in 1 night?
Meet Joe Black,11/12/98,Sooner or later everyone does.
Collateral Damage,2/6/02,What would you do if you lost everything?
All That Jazz,12/20/79,All that work. All that glitter. All that pain. All that love. All that crazy rhythm. All that jazz.
Mirror Mirror,3/15/12,The Snow White legend comes alive.
Scott Pilgrim vs. the World,7/27/10,Get the hot girl. Defeat her evil exes. Hit love where it hurts.
The Core,3/28/03,Earth has a deadline.
Nutty Professor II: The Klumps,7/27/00,The Klumps are back!
Scooby-Doo,6/14/02,Get a Clue
Dredd,9/7/12,Judgement is coming
Click,6/22/06,What If You Had A Remote... That Controlled Your Universe?
Creepshow,11/12/82,The Most Fun You'll Ever Have... BEING SCARED!
Cats & Dogs 2 : The Revenge of Kitty Galore,7/30/10,Just like real spies... only furrier.
Jumper,2/10/08,anywhere is possible.
Hellboy II: The Golden Army,7/11/08,Saving the world is a hell of a job.
Zodiac,3/2/07,There's more than one way to lose your life to a killer.
The 6th Day,11/17/00,Are You Who You Think You Are
Bruce Almighty,5/23/03,In Bruce we trust
The Expendables,8/3/10,Choose Your Weapon.
Mission: Impossible,5/22/96,Expect the Impossible.
The Hunger Games,3/12/12,May The Odds Be Ever In Your Favor.
The Hangover Part II,5/25/11,The Wolfpack Is Back
Batman Returns,6/19/92,"The Bat, the Cat, the Penguin."
Over the Hedge,4/22/06,Taking back the neighborhood... One snack at a time.
Lilo & Stitch,6/21/02,He's coming to our galaxy.
Charlotte's Web,12/15/06,"Something unexpected, unbelievable, unforgettable."
Deep Impact,5/8/98,Heaven and Earth are about to collide.
RED 2,7/18/13,The best never rest.
The Longest Yard,5/19/05,"If you can't get out, get even."
Alvin and the Chipmunks: Chipwrecked,12/14/11,This holiday it's gonna get squeaky.
Grown Ups 2,7/11/13,Just because they're a little older doesn't mean they've grown up.
Get Smart,6/19/08,Saving The World...And Loving It!
Something's Gotta Give,12/12/03,Schmucks are people too.
Shutter Island,2/18/10,Someone is missing.
Four Christmases,11/26/08,"His father, her mother, his mother and her father all in one day."
Robots,3/10/05,You can shine no matter what you're made of.
Face/Off,6/27/97,"In order to catch him, he must become him."
Bedtime Stories,12/24/08,Whatever they dream up... he has to survive.
Road to Perdition,7/12/02,Pray for Michael Sullivan.
Just Go with It,2/10/11,Sometimes a guy's best wingman... is a wingwoman
Con Air,6/1/97,They were deadly on the ground; Now they have wings
Eagle Eye,9/25/08,Don't walk. Run.
Cold Mountain,12/24/03,Find the strength. Find the courage. No matter what it takes... find the way home.
The Book of Eli,1/14/10,Some will kill to have it. He will kill to protect it.
Flubber,11/26/97,Catch it if you can!
The Haunting,7/23/99,Some houses are born bad.
Space Jam,11/15/96,Get ready to jam.
The Pink Panther,1/18/06,Pardon His French.
The Day the Earth Stood Still,12/10/08,12.12.08 is the Day the Earth Stood Still
Conspiracy Theory,8/7/97,What if your most paranoid nightmares had just come true?
Fury,10/15/14,War never ends quietly.
Six Days Seven Nights,6/12/98,"After this week in paradise, they’re going to need a vacation."
Yogi Bear,12/11/10,Life's a Pic-A-Nic
Spirit: Stallion of the Cimarron,5/24/02,Leader. Hero. Legend.
Zookeeper,7/6/11,Welcome to his jungle.
Lost in Space,4/3/98,"Danger, Will Robinson!"
The Manchurian Candidate,7/30/04,This summer everything is under control.
Déjà Vu,4/22/98,Your future is set...
Hotel Transylvania 2,9/21/15,They're back to raise a little terror
Fantasia 2000,12/17/99,
The Time Machine,3/4/02,The greatest adventure THROUGH all time!
Mighty Joe Young,12/25/98,Survival is an instinct.
Swordfish,6/7/01,Log On. Hack In. Go Anywhere. Get Everything.
The Legend of Zorro,10/24/05,The original caped crusader is back!
What Dreams May Come,10/2/98,After life there is more. The end is just the beginning.
Little Nicky,11/10/00,He's Never Been To Earth. He's Never Even Slept Over Some Other Dude's House.
The Brothers Grimm,8/26/05,Eliminating Evil Since 1812.
Mars Attacks!,12/12/96,Nice planet. We'll take it!
Evolution,9/14/15,
